SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
101780,,,,Ferretería general,"BOME-1+EI1.jpg, BOME-1+EM1.jpg, BOME-1+FC1.jpg, BOME-1.jpg",Marca,Truper,Medida,
101831,,,,Ferretería general,"SU-1500C+D1.jpg, SU-1500C+FC1.jpg, SU-1500C+FC2.jpg, SU-1500C.jpg",Marca,Truper,Medida,
101962,,,,Ferretería general,"ESP-TELR+E1.jpg, ESP-TELR+EI1.jpg, ESP-TELR+EIND1.jpg, ESP-TELR+EM1.jpg, ESP-TELR+FC1.jpg, ESP-TELR+FC2.jpg, ESP-TELR.jpg",Marca,Truper,Medida,
101974,,,,Ferretería general,"WT-300GL+CR1.jpg, WT-300GL+EI1.jpg, WT-300GL+EIND1.jpg, WT-300GL+EM1.jpg, WT-300GL+FC1.jpg, WT-300GL.jpg",Marca,Truper,Medida,
101975,,,,Ferretería general,"WT-400CA+CR1.jpg, WT-400CA+EI1.jpg, WT-400CA+EIND1.jpg, WT-400CA+EM1.jpg, WT-400CA+FC1.jpg, WT-400CA.jpg",Marca,Truper,Medida,
101976,,,,Ferretería general,"WT-400SP+CR1.jpg, WT-400SP+EI1.jpg, WT-400SP+EIND1.jpg, WT-400SP+EM1.jpg, WT-400SP+FC1.jpg, WT-400SP.jpg",Marca,Truper,Medida,
101977,,,,Ferretería general,"WT-240TE+CR1.jpg, WT-240TE+EI1.jpg, WT-240TE+EIND1.jpg, WT-240TE+EM1.jpg, WT-240TE+FC1.jpg, WT-240TE.jpg",Marca,Truper,Medida,
102532,,,,Ferretería general,"REP-AFB-118+D1.jpg, REP-AFB-118+E1.jpg, REP-AFB-118.jpg",Marca,Truper,Medida,
102533,,,,Ferretería general,"ACEM-32.jpg, ACEM-34+CR1.jpg",Marca,Truper,Medida,
102634,,,,Ferretería general,"LLCR-16+EI1.jpg, LLCR-16+EIND1.jpg, LLCR-16+EM1.jpg, LLCR-16+FC1.jpg, LLCR-16+FC2.jpg, LLCR-16.jpg",Marca,Truper,Medida,
102635,,,,Ferretería general,"LLCR-14+EI1.jpg, LLCR-14+EIND1.jpg, LLCR-14+EM1.jpg, LLCR-14+FC1.jpg, LLCR-14+FC2.jpg, LLCR-14.jpg",Marca,Truper,Medida,
102931,,,,Ferretería general,"ABC-34+CR1.jpg, ABC-34+EI1.jpg, ABC-34+EIND1.jpg, ABC-34+EM1.jpg, ABC-34.jpg",Marca,Truper,Medida,
102932,,,,Ferretería general,"ACEH-34+CR1.jpg, ACEH-34+EI1.jpg, ACEH-34+EIND1.jpg, ACEH-34+EM1.jpg, ACEH-34.jpg",Marca,Truper,Medida,
102946,,,,Ferretería general,"TEBA-4+D1.jpg, TEBA-4+E1.jpg, TEBA-4+EI1.jpg, TEBA-4+EIND1.jpg, TEBA-4+EM1.jpg, TEBA-4+FC1.jpg, TEBA-4+FC2.jpg, TEBA-4.jpg",Marca,Truper,Medida,
102947,,,,Ferretería general,"TEBA-5+D1.jpg, TEBA-5+E1.jpg, TEBA-5+EI1.jpg, TEBA-5+EIND1.jpg, TEBA-5+EM1.jpg, TEBA-5+FC1.jpg, TEBA-5+FC2.jpg, TEBA-5.jpg",Marca,Truper,Medida,
103617,,,,Ferretería general,"WT-300+CR1.jpg, WT-300+EI1.jpg, WT-300+EIND1.jpg, WT-300+EM1.jpg, WT-300.jpg",Marca,Truper,Medida,
103618,,,,Ferretería general,"WT-175+CR1.jpg, WT-175+EI1.jpg, WT-175+EIND1.jpg, WT-175+EM1.jpg, WT-175.jpg",Marca,Truper,Medida,
103622,,,,Ferretería general,"RED-C18+A1.jpg, RED-C18+E1.jpg, RED-C18+EIND1.jpg, RED-C18+EM1.jpg, RED-C18+FC1.jpg, RED-C18+FC2.jpg, RED-C18.jpg",Marca,Truper,Medida,
103630,,,,Ferretería general,"RED-C24+A1.jpg, RED-C24+D1.jpg, RED-C24+E1.jpg, RED-C24+EIND1.jpg, RED-C24+EM1.jpg, RED-C24+FC1.jpg, RED-C24+FC2.jpg, RED-C24.jpg",Marca,Truper,Medida,
103697,,,,Ferretería general,"ANC-35+D1.jpg, ANC-35+E1.jpg, ANC-35+EI1.jpg, ANC-35+EIND1.jpg, ANC-35+EM1.jpg, ANC-35+FC1.jpg, ANC-35.jpg",Marca,Truper,Medida,
