SKU,Articulo,Precio_Publico,Sucursal_Bodega,Stock_Actual
TPVC0001,"TUBO PVC T. PESADO 1/2""*",7.76,Almacen Uno                                                 ,930
UNNO0006,"N1128-BL CONTACTO 2P+T C/ PROT. INF. BL""",44,Almacen Uno                                                 ,927
CTUR0002,"CONECTOR USO RUDO 3/4""*",11.48,Almacen Uno                                                 ,926
TPVC0006,"TUBO PVC T. PESADO 2""*",33.24,Almacen Uno                                                 ,918
44271,"METRO DE CADENA GALVANIZADA DE 1/4', 35 M EN CUBETA, FIERO",62.07,Almacen de Mercancia en Consignacion                        ,910
46322,"CAJA OCTAGONAL 4"" * 4"" REFORZADA*",13.36,Almacen Uno                                                 ,910
46067,"CABLE ""POT"" Ó DUPLEX BCO SPT 14 AWG*",19.74,Almacen Uno                                                 ,905
11643,"LIJA DE ESMERIL ROJA GRANO 120 DE ÓXIDO DE ALUMINIO, TRUPER",17.24,Almacen Uno                                                 ,900
TUBR0006,"TUERCA BRONCE  AL SILICIO 1/4""*",8.235,Almacen Uno                                                 ,897
ABUR0002,"ABRAZADERA U 1/4"" P/TUBO DE 3/4""*",9.55,Almacen Uno                                                 ,884
CTVA0006,CONECTOR P/VARILLA DE TIERRA CW 5/8*,45.06,Almacen Uno                                                 ,884
TOBR0019,"TORNILLO BRONCE AL SILICIO 1/4 X 1/2""*",24.735,Almacen Uno                                                 ,884
TULI0004,"TUBO LICUTITE 1""",128.085,Almacen Uno                                                 ,882
CCUR0023,CABLE USO RUDO 3X10,93.9,Almacen Uno                                                 ,865
CTGL0003,"CONECT GLANDULA PLASTICO 1""*",25.2,Almacen Uno                                                 ,858
ABUR0004,"ABRAZADERA U 1/4"" P/TUBO DE 1 1/4""*",27.86,Almacen Uno                                                 ,845
CTHU0002,"CONECTOR HUB 3/4""*",67.73,Almacen Uno                                                 ,845
CDPV0001,"CODO PVC T. PESADO 1/2""*",4.25,Almacen Uno                                                 ,830
ZACC0005,"ZAPATA PONCH C/C 1B CAL. 6-1/4""*",19.43,Almacen Uno                                                 ,819
ZASA0010,"TERM OJO SIN AISLAR C/CORTO CAL. 6  1/2""*",14.55,Almacen Uno                                                 ,819
46117INAC,CONTACTO PLASTICO ATERRIZADO 2P + T*,20.69,Almacen Uno                                                 ,806
HERR0101,"HEBILLA P/FLEJE INOX 5/8""",11.44,Almacen Uno                                                 ,793
GRAP0001,GRAPA CURVA (CABLE USO RUDO 1/2),1.9159,Almacen Uno                                                 ,793
CCUR0017,CABLE USO RUDO 2X14,24.54,Almacen Uno                                                 ,785
46079,"CABLE ""POT"" Ó DUPLEX BCO SPT 12 AWG",28.8793,Almacen Uno                                                 ,780
POLI0005,"POLIDUCTO NARANJA 1 1/2""",19.22,Almacen Uno                                                 ,780
PIPB0010,"PIJA P. BROCA CAB HEXA 8 X 1""*",0.51,Almacen Uno                                                 ,780
ABPE0001,"ABRAZADERA TIPO PERA 1/2""*",7.61,Almacen Uno                                                 ,780
TURE0004,"TUERCA RESORTE 1/2""",16.41,Almacen Uno                                                 ,767
CAIT0013,REDUCCION 4X2 A 5X5*,16.05,Almacen Uno                                                 ,754
46330INAC,TAPA DE 4*4 PARA CAJA CUADRADA REFORZADA VOLTEK*,8.19,Almacen Uno                                                 ,754
CTZA0001,"CONECTOR ZAPA RECTO 1/2""*",9.74,Almacen Uno                                                 ,748
MG51MED,CLEMA MEDIANA 1-3/16 3/4*,6.8,Almacen Uno                                                 ,741
CINE0010,"CINC NEGRO ACN 370-4 22KG 14.5""",2.17,Almacen Uno                                                 ,732
ABUN0008,"AB UNICANAL 3""*",40.38,Almacen Uno                                                 ,728
ZAME0001,ZAPATA MEC BR CAL 4*,39.45,Almacen Uno                                                 ,715
ABUÑ0001,"AB UÑA 1/2""*",1.87,Almacen Uno                                                 ,711
CTSR0003,"CONECTOR CON TORNILLO 1""*",16,Almacen Uno                                                 ,702
CTLI0002,"CONECT RECTO LICUTITE 1/2""*",21.48,Almacen Uno                                                 ,702
